acc_name,create_at,full_text,retweet_count,fav_count,follower_count
rarinny1492,2020-05-20 09:56:42,️ว่าง10กล่องนะคะวันนี้️700บาทพร้อมส่ง️งานไทยแท้100%หนา3ชั้นเกรดโรงพยาบาลกันน้ำเหมาะสำหรับคนแพ้ง่ายสบายนิ่มลูกค้าเก่าๆที่เคยสั่งจะรู้ดีว่าคุณภาพดีจริงๆ️#แมส #Covid_19 #โควิด19 #เราไม่ทิ้งกัน #COVID19 #หน้ากากอนามัย #หน้ากากอนามัยราคาถูก #หน้ากากอนามัยราคาส่ง #ขายหน้ากากอนามัย ,0,1,151
Fahjoong,2020-05-20 09:52:14,อูยยยยย คอนเสริตมาเรื่อยๆ ไม่คิดถึงตอนที่ไม่มี COVID เลยน้าาาาา55555555,0,0,113
jesslalalalisa,2020-05-20 09:51:28,"@soupvfx01 ถ้าไม่มี covid-19 คงได้ร่วมงานกันอีกเพียบ นึกอีกทีก็เสียดายจริงๆ 

#LISAforHuaGuoQingRu",6,22,122
ekieyjohn,2020-05-20 09:51:19,@prayutofficial ต้องใช้เงินแสนล้านอุ้มการบินไทย เพื่อ! ช่วยดูสถานการณ์ประชาชนในประเทศ สนใจแต่ตัวเลขคนว่างงาน อย่าไปสนใจตัวเลขผู้ติดเชื่อCovid-19  ความมั่นคงของชาติ เหมือนกันไหมความมั่นคงของมนุษย์ ถึงเวลาโชว์งานบริหารภายในไม่ใช่สร้างแต่ภาพ ล้มเหลวทุกการตัดสินใจ น่าเบื่อ!,0,0,23
bombaam1,2020-05-20 09:51:10,ประกันภัยไทยวิวัฒน์ สร้างอิสระครั้งใหม่ เปิดตัวประกันรถเปิดปิด แบบ Top-up บนแคมเปญ #คุ้มครองใหญ่แต่จ่ายเล็กเติมเต็มกำลังใจช่วยคนไทย ก้าวข้ามวิกฤตCOVID-19 ,0,0,16
promasscomm1,2020-05-20 09:47:04,"บอร์ดตลาดทุน เห็นชอบผ่อนคลายเกณฑ์กองทุนรวมและทรัสต์ที่มีการลงทุนในอสังหาริมทรัพย์หรือโครงสร้างพื้นฐาน และผ่อนผันหลักเกณฑ์สำหรับการดำเนินการในปี 2563 เพื่อบรรเทาผลกระทบจาก COVID-19 ... สามารถติดตามข่าวสารเพิ่มเติม ได้ที่ Facebook :
#เก็บเบี้ยใต้ถุนร้าน
#Pro MassComm Limited",0,0,36
Pear32351882,2020-05-20 09:46:43,"#ไซด์ไลน์นครสวรรค์ 
#รับงานนครสวรรค์
#หาคู่นอนนครสวรรค์
สนใจแอดไล 🆔amy678910

รับงานตัวเมืองนครสวรรค์
หญิงแท้100%ตรงปกบริการดี
1500/1ชม./1น้ำ(ไม่รวมห้อง)​
จ่ายเงินหน้างาน(เงินสด,โอน)
บริการรับส่งถึงที่พัก
️04.00-22.00น.save covid-19มีน้องมาใหม่ค่ะ ",0,4,35
VibhavadiHosp,2020-05-20 09:45:53,ถุงปันน้ำใจบุคลากรวิภาวดีผ่าวิกฤต covid -19”คุณพิชยากร กาศสกุล ผู้ช่วย ผอ.รพ. พร้อมคณะ จนท.ร่วมมอบถุงปันน้ำใจให้กับมูลนิธิเด็กอ่อนในสลัมในพระอุปถัมภ์สมเด็จพระเจ้าพี่นางเธอเจ้าฟ้ากัลยาณิวัฒนากรมหลวงนราธิวาสราชนครินทร์ หรือบ้านเด็กอ่อนเสือใหญ่ เพื่อช่วยเหลือชุมชนในช่วงวิกฤต covid19 ,0,0,217
LovelydeSelena,2020-05-20 09:45:34,@NITE2MU ขอถามค่ะ ว่าการเป็นหนี้นอกระบบในช่วง COVID-19 ของกลุ่มที่รับราชการเพิ่มขึ้นด้วยปัจจัยใดคะ&gt;&gt;อยากรู้ค่ะ,0,0,160
finearts_d,2020-05-20 09:39:57,กรมศิลปากรเปิดแหล่งเรียนรู้ในสังกัด ๒๒ พฤษภาคมนี้ พร้อมปฏิบัติตามมาตรการป้องกันการแพร่ระบาดCOVID-19 อย่างเคร่งครัด ,3,0,91
forsellonlyka,2020-05-20 09:36:38,"แบ่งขายแมสค่า
10 ชิ้น แพคละ 90 บาท 
งานไทยหนา 3 ชั้นมีไส้กรองตามภาพเลยค่ะ
ค่าส่ง flash 30บาท
#หน้ากากอนามัย #หน้ากากอนามัยพร้อมส่ง #พร้อมส่ง #แมส #ตลาดนัด #หน้ากากอนามัยราคาถูก #โควิด19 #โควิด_19 #COVID19 #COVID__19 #ทีมมช ",0,1,98
Mmookjtm1,2020-05-20 09:35:40,"ค่อยๆทยอยทำการบ้านส่งคุณครู 
เด็กยุค covid เรียนออนไลน์
ส่งการบ้านออนไลน์ 
 ดวงใจของน้า  ",0,0,15
PhillipThailand,2020-05-20 09:34:58,"(Efinance) การท่าเรือฯ เผยผลประกอบการ 6 เดือนแรกปีงบประมาณ 63 มีปริมาณตู้สินค้าผ่านท่ารวม 4.698 ล้าน TEU -2.562% ทำรายได้สะสม 7,397 ล้านบาท -1.20% y-y เซ่นพิษ COVID-19  ทำปริมาณขนส่งสินค้าหยุดชะงัก",0,2,14115
newsplusTH,2020-05-20 09:34:46,สวนน้ำ วานา นาวา แบ่งปันน้ำใจช่วยเหลือพี่น้องชาวหัวหินสู้สถานการณ์ Covid – 19 #newsplusTH,0,0,15823
Thida7a,2020-05-20 09:33:16,@jjaauu1989 ทางนี้ส่องไปเรื่อยๆ ก่อนค่ะ เผื่อปีหน้าได้สอยอะไรใหม่ กิเลสช่วงนี้เยอะเหลือเกินคุณเอิง 55 เรื่อง Covid-19 นี่น่าเห็นใจมากค่ะ ภาวนาขอให้คุณแม่เค้าปลอดภัยค่ะ  ,0,0,21703
Flizelx,2020-05-20 09:32:04,เห้ออออ ต้องไปเรียนชดแลปที่หยุดช่วงcovid ตอนปิดเทอมอีก เป็นท้อมาก สอบปฏิบัติด้วย,0,0,142
Snowflakeshop,2020-05-20 09:32:00,"เปิดรอบ lot6/2020 ค่า
พรีออเดอร์ #หนังสือภาษาเกาหลี #แบบเรียนภาษาเกาหลี #หนังสือเตรียมสอบ topik kiip #นิทานเกาหลี
#เรื่องสั้น หนังสือrareๆก็รับหา
️รบกวนสั่งในdmค่ะ

ปิดรอบ31MAYถึงไทยประมาณ10มิถุนา 
อาจมีcovid delay
ส่งems 80฿เล่มต่อไป20/3เล่มส่งฟรีemsค่า
งดนัดรับฟรี มีมัดจำค่ะ",4,6,3250
newsplusTH,2020-05-20 09:30:59,“สยามคูโบต้า” ผลิตตู้ความดันลบ ช่วยเหลือผู้ป่วย COVID-19 ให้ 18 โรงพยาบาลประเทศ #newsplusTH,0,0,15823
tatsanana,2020-05-20 09:24:20,@ThaiPBS ประธานวิปพร้อมรับผิดชอบCOVID,0,0,53
kukikuki45,2020-05-20 09:23:28," เลขที่พัสดุประจำวันที่ 20/5/2020  

#หน้ากากอนามัย เช็คดีๆก่อนโอนเงิน
เลือกมีปลายทางดีที่สุด‼️
.
เช็คคนโกงคลิ๊ก &gt;&gt; 
#รีวิวkukikukishop
#โควิด19 #Covid_19
#หน้ากากอนามัยพร้อมส่ง
#หน้ากากอนามัยเก็บเงินปลายทาง
#โดนโกงหน้ากากอนามัยมาสั่งที่นี่ได้ของชัวร์ ",0,0,118
PanatWorawat,2020-05-20 09:23:05,รีบไปเช็กกันเร็วครับ ใครได้รับเงินเยียวยาแล้วบ้าง #เงินเยียวยา #COVID #เกษตรกร ,0,0,17
kittyandthegang,2020-05-20 09:21:52,"Coronavirus in Leeds [EP.12] ตู้ปันสุข? ที่อังกฤษ
คลิปเต็ม ในช่วงที่ไวรัส Coronavirus หรือ Covid-19 ได้มาเยือน พวกเราอยู่อย่างไร 
#Leeds #Coronavirus #covid19 ",2,2,100
shai_nu,2020-05-20 09:21:29,อะไรที่เป็นภาระ รุงรัง #ปล่อยวาง #พักก่อน #Covid_19,0,0,42
pompompreorder,2020-05-20 09:20:57,"Covid ยังไม่หมดเรย

บั้มมากันใหญ่เรยนะ!!! ",0,1,3709
charathBank,2020-05-20 09:17:17,"แนวทางสำหรับ ""ร้านเสื้อผ้า"" ในการกลับมาเปิดหลังวิกฤตโควิด-19 ",0,1,8363
News_offe,2020-05-20 09:14:14,ดร.รักษ์ วรกิจโภคาทร กรรมการและผู้จัดการทั่วไป บสย. เปิดโครงการ “บสย. ตู้ปันสุข” เพื่อร่วมแบ่งปัน และบรรเทาทุกข์ ผู้ได้รับผลกระทบจาก COVID-19 ในย่านเพชรบุรีตัดใหม่ เอกมัย และทองหล่อ ณ บสย. สนง.ใหญ่ อาคารชาญอิสสระทาวเวอร์ 2 ถ.เพชรบุรีตัดใหม่ เมื่อวันที่ 20 พฤษภาคม 2563 ,0,0,1712
News2020me,2020-05-20 09:12:58,"เปิดเทอม 1 ก.ค.นี้! ศธ.แนะ ผลัดกันเรียนห้องละไม่เกิน 20 คน เลี่ยงแพร่ระบาด #โควิด19

#โควิด #COVID #เปิดเทอม
 ",0,0,4
sc_asset,2020-05-20 09:12:46,"ขอบคุณพลังชาว #SCFamily และเพื่อนบ้านใกล้เคียงโครงการ “เนเบอร์ฮูด บางกะดี” ที่มาร่วมกิจกรรมบริจาคเลือด เมื่อวันเสาร์ที่ 16 พฤษภาคม 2563 ณ Sport Complex โครงการ “เนเบอร์ฮูด บางกะดี” เพื่อเป็นส่วนหนึ่งกับการช่วยเหลือในภาวะวิกฤติโลหิตไม่เพียงพอ เนื่องจากสถานการณ์ COVID-19

#SCAsset ",0,2,12902
Nangdee,2020-05-20 09:11:53,"#Greyhound ภาพยนตร์บอกเล่ายุทธการแอตแลนติก นำแสดงและเขียนบทฯ โดย ทอม แฮงค์ส บอกลาโรงหนังเพราะพิษ #COVID ส่งลิขสิทธิ์ฉายลงจอ Apple TV+ จากเดิทที่เคยกำหนดไว้ว่าจะเข้าฉายในเดือนมิถุนายน

#TomHanks 
#Nangdeedotcom
#movietwit ",1,0,20094
News2020me,2020-05-20 09:11:22,"'10ขวบ'ร่วมทีมแก๊งไอติมรุ่นพี่ ฝ่าฝืนเคอร์ฟิว-บุกลักจยย.
 #COVID #เคอร์ฟิว ",0,0,4
News2020me,2020-05-20 09:10:31,"แรงงานต่างด้าวเฮ! ปลดล็อกงานขายของหน้าร้าน
 
#COVID ",0,0,4
w_rung,2020-05-20 09:08:50,@BrightTodayTh เหอะๆ ทุกวันนี้ ยังไม่เคยเห็นหน้ากาก อนามัย ราคาที่ว่า คุม เลยนะ... #หน้ากากอนามัย #COVID,0,0,30
Toonz_ncs,2020-05-20 09:08:35,ถ้า Covid มาเร็วกว่านี้ซัก10ปี เรียนออนไลน์คงจะทำได้ยากมากเลยอ่ะ,0,0,212
techsauceth,2020-05-20 09:08:28,"Priceza เผย COVID-19 ผลักผู้บริโภคหันมาช้อปปิ้งสินค้าผ่านช่องทางออนไลน์มากขึ้น ส่งผลให้ตัวเลขตลาดอีคอมเมิร์ซไทยอาจพุ่งสูงถึง 220,000 ล้านบาท โดยในปี 2020 มีอัตราการเติบโตสูงขึ้น 35% จากปีก่อนหน้า
",1,1,2877
khaoratchakarn,2020-05-20 09:04:05,พล.ต.ต.สัณห์ โพธิ์รักษา ผบก.ภ.จว.น่าน เป็นประธานฯ ร่วมมอบถุงยังชีพให้กับประชาชนที่ได้รับผลกระทบจากสถานการณ์ การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19)  ,0,0,233
yuwaput,2020-05-20 09:00:57,เพื่อให้เป็นไปตามมาตรการ การรักษาความปลอดภัย เนื่องด้วยสถานการณ์ไวรัส COVID-19 สมาคมฯ ขอจำกัดจำนวนผู้เข้าร่วมงานเอตทัคคะในครั้งนี้  โดยขอความร่วมมือจากผู้สนใจเข้าร่วมงานทุกท่าน  ได้โปรดลงทะเบียนเข้าร่วมงานที่ ,0,3,811
nonnoy65963529,2020-05-20 09:00:49,การปรับราคาน้ำมันในวันนี้ #COVID19 #Covid_19 #โควิด19 ,0,0,18
thaiarmyletter,2020-05-20 09:00:25,"พัน.ซบร.23 บชร.3  จัดกำลังพลลงพื้นที่พบปะเกษตรกรที่ได้รับผลกระทบจากการแพร่ระบาดของโรคติดเชื้อไวรัส Covid - 19 โดยรับซื้อผลผลิตทางการเกษตรที่แปลงปลูกผักของเกษตรกร เพื่อช่วยเหลือบรรเทาความเดือดร้อน ณ หมู่ 8 ต.บึงพระ อ.เมือง จ.พิษณุโลก

#จดหมายลายพราง #thaiarmyletter ",19,31,3210
Jwalkerz_TH,2020-05-20 08:59:34,"[INFO] เจย์ปาร์ค&amp;ศิลปิน #H1GHRMUSIC จะร่วมทำการแสดงในโปรเจ็ค H1GHR X Identity Festival ร่วมกับศิลปินอื่นๆทางไลฟ์สตรีมผ่าน Twitch ในวันที่ 31 พ.ค.นี้ค่ะ 

โดยรายได้ทั้งหมดจะส่งไปที่ United Way Worldwide เพื่อสร้างความตระหนักและการต่อสู้กับ COVID-19 ค่ะ

 ",91,26,19805
aonaha,2020-05-20 08:59:28,ยอดผู้ติดเชื้อ #COVID_19 ทั่วโลกมีจำนวนทะลุเกินกว่า 5 ล้านคน ,0,0,919
washikirei,2020-05-20 08:53:08,"เดือนเมษายนที่ผ่านมา มีนักท่องเที่ยวต่างชาติเข้ามาในญี่ปุ่นลดลง 99.9% โดยมีจำนวนการเดินทางเข้าเพียง 2,900 คนเท่านั้น อันเป็นผลพวงจากการระบาดของ COVID-19 ที่ทำให้ธุรกิจการบินชะงัก รวมทั้งความไม่เชื่อมั่นในการจัดการของรัฐบาลญี่ปุ่นในการควบคุมการระบาดด้วย

 ",123,19,5339
cebitasean,2020-05-20 08:50:26,"เพื่อให้ธุรกิจไทยเดินหน้าไปต่อได้หลังผ่านพ้นวิกฤต COVID-19 อย่างมั่นคง  ""CEBIT X TechTalkThai Conference"" กับการบรรยายในหัวข้อ ""ก้าวถัดไปของธุรกิจยุค COVID-19"" โดยวิทยากรชั้นนำ

ลงทะเบียนฟรี! ได้แล้ววันนี้ที่ ** เปิดรับจำนวนจำกัด 

#สัมมนา #สัมมนาออนไลน์ ",0,0,90
AcNewsMagOnline,2020-05-20 08:48:48,"โลกหลังวิกฤติ Covid-19

อ่านต่อ : 
#วิกฤติCovid19 #อุตสาหกรรมสายการบิน #Covid_19",0,0,165
ntppattamaroj,2020-05-20 08:45:11,@BamBamUKlover 555 ทำใจซื้อที่ไทยไม่ได้เหมือนกันค่ะ แต่ตอนนี้ Covid พรากทุกอย่างเลย &gt;&lt;,0,0,33
4iTgnbhOYH6Ms86,2020-05-20 08:44:57,ขอบคุณลูกค้าประจำ หลังจากสถานการณ์covid-19 ก็พึ่งได้นัดนวดกัน #นวดอีโรติก #นวดน้ํามันเสียวๆ #หมอนวดชาย #ชายแท้รับงาน #นวดสำหรับสุภาพสตรี #นวดนาบ #นวดน้ำมัน #นวดผ่อนคลาย ,0,9,398
number177616,2020-05-20 08:44:41,"ตรวจสอบสิทธิ์ เยียวยาเกษตรกร ชาวสวนยาง 
#เราไม่ทิ้งกัน  #ลงทะเบียนเราไม่ทิ้งกัน #โควิด19 #COVIDー19 #เราจะผ่านวิกฤตินี้ไปด้วยกัน #เงินเยียวยา #เกษตร #ลงทะเบียนเกษตรกร #COVID #เยียวยา15000 #ชาวสวนยาง #สวนยาง #ตรวจสอบสิทธิ์ #เรื่องนี้พี่ขอฉีกกฎ
",0,0,127
ascom2army2,2020-05-20 08:41:09,"“ทหารหน่วยกองบัญชาการช่วยรบที่ 2 ร่วมบริจาคโลหิตสู้ภัย Covid – 19”
เมื่อวันที่ 13 พ.ค.63 เวลา 1330 พลตรี ภาณุพงษ์ พุทธาศรี ผู้บัญชาการกองบัญชาการช่วยรบที่ 2 นำกำลังพลหน่วยขึ้นตรงของกองบัญชาการช่วยรบที่ 2 ค่ายสุรนารี… ",0,0,77
cmuofficial_tw,2020-05-20 08:39:06,"ประกาศ มช. เรื่อง การแก้ไขแบบคำร้องขอรับการช่วยเหลือบรรเทาความเดือดร้อน สำหรับนักศึกษา มช. ที่ได้รับผลกระทบจากสถานการณ์การระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ประจำภาคเรียนฤดูร้อน ปีการศึกษา 2562 และภาคการศึกษาที่ 1 ปีการศึกษา 2563 
&gt;&gt;",6,4,7657
gunatthaphan12,2020-05-20 08:38:03,"หมด Covid-19
อยากไปที่ไหนกัน
เราอยากไปทุกที่ยกเว้นโรงเรียน",0,1,4
Pv123Shop,2020-05-20 08:37:03,"พร้อมส่ง เจลล้างมือ
DOCTOR SKIN HAND CLEANSING GEL 

ขนาด 60ml. 59 บาท 

ส่งลทบ30 ems50 

พิเศษ ซื้อ 2หลอดขึ้นไปส่งฟรี️

#เจลล้างมือพกพา #เจลล้างมืออนามัย #เจลล้างมือ #เจลล้างมือแอลกอฮอล์ #เจลแอลกอฮอล์ #เจลล้างมือแบบไม่ต้องใช้นำ้ #โควิด19 #โควิด19เราต้องรอด  #covid_19 ",1,1,6
ftithailand,2020-05-20 08:34:40," เอกชนยังกังวล COVID-19 ฉุดดัชนีความเชื่อมั่นฯ เม.ย. 63 ต่ำที่สุดในรอบ 11 ปี ชงภาครัฐยกเว้นภาษี SMEs 3 ปี, คืนเงินประกันมิเตอร์ไม่เกิน 50 แอมป์

 รายละเอียดเพิ่มเติม คลิก 
#สภาอุตสาหกรรมแห่งประเทศไทย #ประธานสภาอุตสาหกรรมแห่งประเทศไทย #fti #สอท #สภาอุต ",1,0,39
ChoCo_iio4,2020-05-20 08:31:33,@daisy_iksan เข้าแล๊บถ้าจะติดก็คือติดมั้ย อิ covidเนี่ย,0,0,1642
xxmianaoxx,2020-05-20 08:31:12,การบ้านเด็กป.5คือให้ทำการทดลองสำรวจมึ่งนี้มันยุคcovid ต้องไปสำรวจไหนก่อน,0,0,68
NLThailand_PR,2020-05-20 08:30:44,"กรมศิลปากร @finearts_d เปิดแหล่งเรียนรู้ในสังกัด 22 พฤษภาคมนี้ พร้อมให้ปฏิบัติตามมาตรการป้องกันการแพร่ระบาด #โควิด19 #COVID_19 อย่างเคร่งครัด

#หอสมุดแห่งชาติ
#อยู่บ้านหยุดเชื้อเพื่อชาติ 
#อ่านออนไลน์ลดความเสี่ยงเลี่ยงโควิด ",7,1,9297
PennyPreeya,2020-05-20 08:30:03,"on May 20th

CoVID-19 DRUG  updating....

ส่วนแนวทางวิจัยยารักษาโรคโควิด19 นั้น จากงานวิจัยล่าสุด ยังไม่พบการกลายพันธุ์ของไวรัสซาร์-โคฟ2 …เหมือนพฤติกรรมไวรัสหวัด
ดังนั้น ‍‍โอกาสที่จะวิจัยพบวิธีการกำจัด~ฆ่าไวรัสชนิดนี้ ด้วยยารักษาโรคมีความเป็นไปได้สูงมาก",0,0,47
PennyPreeya,2020-05-20 08:30:01,"on May 20th

CoVID-19 DRUG frontline team updating....

ยุทธ์ศาสตร์แนวทางวิจัย‍‍ เลยเน้นไปที่ วิจัยวัคซีนโรคหวัด เพื่อกระตุ้นภูมิคุ้มกันร่างกายของผู้ป่วยเองในการกำจัดเชื้อไวรัสที่เข้าสู่ร่างกาย… 
ส่วนแนวทางวิจัยยารักษาโรคโควิด19 นั้น จากงานวิจัยล่าสุด ยังไม่พบ…",0,0,47
PennyPreeya,2020-05-20 08:30:01,"on May 20th

CoVID-19 DRUG frontline team updating....

ทุนนางปรียานันท์ได้ลงทุนโครงการวิจัยฯนี้ เมื่อปี 255x ร่วมกับห้องวิจัยเอกชนฯ เครือข่ายนานาชาติ,ทีมวิจัย CDC เมกา เพื่อเป้าหมายกำจัดฆ่าเชื้อไวรัสหวัด…แต่ปรากฏว่า…เชื้อไวรัสมีการพัฒนาตนเอง กลายสายพันธุ์ใหม่ๆ ทุกๆปี",0,0,47
PennyPreeya,2020-05-20 08:30:00,"on May 20th

CoVID-19 DRUG frontline team updating....

ฆ่าเชื้อโรคหวัดนั้น ปัจจุบันนี้ยังไม่มี และแนวโน้มก็ไม่มีไปอีกนาน… สูตรยารักษาโรคอาการหวัด ที่ใช้กันทุกวันนี้ ก็เป็นสูตรเดิมที่ใช้กันเมื่อปี 2500. 

โครงการวิจัยยารักษาโรคไวรัสหวัด ทุนนางปรียานันท์ได้ลงทุนโครงการ..",0,0,47
PennyPreeya,2020-05-20 08:30:00,"on May 20th

CoVID-19 DRUG frontline team updating....

ดังนั้นยาโควิด ตอนนี้ต้องใช้ภายใต้การควบคุมดูแลของแพทย์เท่านั้น มีผลข้างเคียงมาก เหมือนกับ…ยารักษาโรคหวัดที่สามารถกำจัด ฆ่าเชื้อโรคหวัดนั้น ปัจจุบันนี้ยังไม่มี และแนวโน้มก็ไม่มีไปอีกนาน…
ฆ่าเชื้อโรคหวัดนั้น ปัจจุบัน",0,0,47
PennyPreeya,2020-05-20 08:29:58,"on May 20th

CoVID-19 DRUG frontline team updating....

คลิปนี้ ผู้เชี่ยวชาญฯได้อธิบายค่อนข้างชัดถึงชนิดยารักษาต่างๆ เพื่อรักษาประคองอาการต่างๆจากโรคโควิด ซึ่งคนไข้แต่ละประเภทก็เกิดอาการแตกต่างกันไปอีก เยอะแหละ…ดังนั้นยาโควิด ตอนนี้ต้องอยู่ภายใต้..

",0,0,47
aikaiw,2020-05-20 08:29:02,กลับมาเปิดร้านอีกครั้ง หลังโดน covid กับติดงานศพพ่อ ผ่านไปครึ่งวัน ฉันยังลงของไม่ถึงครึ่ง ทำไมแกแวะตลอดเลยว้าาาาาา,0,0,207
yumyarm,2020-05-20 08:28:42,new normal ตรูเหนื่อยตรงเช็ดอินเช็คเอ้าท์นี่แหละ #NewNormal2020 #checkincheckout #COVID #coronavirus ,0,0,347
ArmTeerapol,2020-05-20 08:28:14,นอกจากนี้ พวกเราไม่ได้คัดค้านเรื่องการกู้เงิน แต่เราไม่เห็นด้วยกับการดำเนินการเยียวยาของรัฐบาลที่ล่าช้าที่ไปสร้างผลกระทบให้กับประชาชน พร้อมย้ำว่า อย่าไปคิดเงินเรื่องเงินทอนในยามที่ประชาชนเดือดร้อน แต่ต้องดำเนินการด้วยการให้ประชาชนมีส่วนร่วมในฐานะเป็นเจ้าของเงิน #Covid_19 ,8,3,3851
ArmTeerapol,2020-05-20 08:28:11,นายวันมูหะมัดนอร์ มะทา หัวหน้าพรรคประชาชาติ กล่าวว่า  การพิจารณาพระราชกำหนดต้องพิจารณาทีละฉบับเท่านั้น ไม่ควรพิจารณารวมไปในคราวเดียวกัน  เพราะพระราชกำหนดที่เสนอเข้ามานั้นมีหลักการและเหตุผลต่างกัน #Covid_19 #ประชุมสภา  #โควิด19 ,40,32,3851
Pear32351882,2020-05-20 08:26:49,"#ไซด์ไลน์นครสวรรค์ 
#รับงานนครสวรรค์
#หาคู่นอนนครสวรรค์
สนใจแอดไล 🆔amy678910

รับงานตัวเมืองนครสวรรค์
หญิงแท้100%ตรงปกบริการดี
1500/1ชม./1น้ำ(ไม่รวมห้อง)​
จ่ายเงินหน้างาน(เงินสด,โอน)
บริการรับส่งถึงที่พัก
️04.00-22.00น.save covid-19มีน้องมาใหม่ค่ะ",0,3,35
Thailandplus1,2020-05-20 08:26:01,"รายงานข่าวกรณีโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ประจำวันที่ 20 พฤษภาคม 2563 
",0,0,92
HhQBKCmXrpBtY67,2020-05-20 08:25:14,อัพเดตุสถานการณ์ผู้ป่วยติดเชื้อไวรัสโควิด-19 ในประเทศไทย วันที่ 20 พฤษภาคม พ.ศ. 2563 #COVID_19 #โควิด19 ,0,0,9
Thai_insurance,2020-05-20 08:24:51,ทิพยประกันชีวิต ห่วงใยลูกค้าปล่อยกู้เงินกรมธรรม์เสริมสภาพคล่องช่วง Covid-19 #news #ทิพยประกันชีวิต #กู้เงินกรมธรรม์ #COVID19 ,0,0,64
ArmTeerapol,2020-05-20 08:24:30,โดยเฉพาะการเข้าถึงหน้ากากอนามัย แต่คนของรัฐบาลกลับไปทำผิดเสียเอง หรือบางคนเข้าไปตรวจโควิดก็ถูกโรงพยาบาลขูดรีดและฉวยโอกาสเก็บค่าใช้จ่าย #Covid_19 #ประชุมสภา  #โควิด19 #โควิด_19 #โควิด19เราต้องรอด ,19,15,3851
ArmTeerapol,2020-05-20 08:24:25,บุคคลย่อมมีสิทธิได้รับการป้องกันและขจัดโรคติดต่ออันตรายจากรัฐโดยไม่เสียค่าใช้จ่ายบุคคลควรได้รับการป้องกันและรักษาโรคระบาดโดยไม่เสียค่าใช้จ่าย โดยเมื่อเกิดการแพร่ระบาดโควิด รัฐบาลต้องป้องกันโรคละให้ทุกคนเข้าถึงการรักษาฟรี #Covid_19 #ประชุมสภา  #โควิด19 #โควิด_19 #โควิด19เราต้องรอด ,13,6,3851
SmartNews_FM905,2020-05-20 08:22:20,"""เทรนด์การบริโภคอาหารว่างของผู้บริโภคออสเตรเลียในยุค COVID-19"" 
#SmartNewsTH #Mitikao905  #GlobalASEAN

",0,0,9825
GreenPrice,2020-05-20 08:22:02,กราฟความสนใจ Nintendo Switch ในไทยเพิ่มขึ้นกว่า 208% ช่วงมาตรการปิดเมืองป้องกันเชื้อ Covid-19 ,0,0,682
nidsui_ka,2020-05-20 08:21:12,กระทรวงศึกษาฯ ของไทยควรศึกษาเป็นตัวอย่าง #COVID #โควิด19 #เรียนออนไลน์ #Saveนักเรียน ,4,12,609
ArmTeerapol,2020-05-20 08:19:33,โดยควรให้สภาฯมีสิทธิตั้งผู้ทรงคุณวุฒิเข้าไปเป็นคณะกรรมการด้วย รัฐบาลควรชี้แจงมาตรการต่างๆให้รายละเอียดและต้องให้เกิดความโปร่งใส เพื่อให้เกิดประโยชน์สูงสุดแก่ประชาชน  #พรกฉุกเฉิน #เพื่อไทย #Covid_19 #ประชุมสภา  #โควิด19 #โควิด_19 #โควิด19เราต้องรอด ,6,4,3851
ArmTeerapol,2020-05-20 08:18:33,นายภูมิธรรม เวชยชัย @phumtham ที่ปรึกษาผู้นำฝ่ายค้านฯ ระบุว่าต้องไม่ใช้เงินกู้ไปเอื้อประโยชน์ให้กับคนบางกลุ่ม และอยากให้รัฐบาลขยายระบบการตรวจสอบให้กว้างมากขึ้นไม่ใช่แค่ให้คณะกรรมการที่รัฐบาลตั้งขึ้นมาดำเนินการเท่านั้น  #พรกฉุกเฉิน #เพื่อไทย #Covid_19 #ประชุมสภา  #โควิด19 ,21,20,3851
moneynbanking,2020-05-20 08:15:00,"ในตอนที่ 5 ของบทความชุดนี้จะพาผู้อ่านไปดูผลกระทบของ Covid-19  ที่มีต่ออุตสาหกรรมสายการบิน (Airline Industry) หรืออุตสาหกรรมการเดินทางทางอากาศ (Aviation Sector)

",2,0,10225
spfftothen,2020-05-20 08:14:22,@nutsudaaum @oumprapat ขายเหรอ คนจลมาอุดหนุนพระพรี่ กิจการบรรวนี้คุณภาพดีจากฝรั่งเศษ no covid,0,0,285
ArmTeerapol,2020-05-20 08:13:39,ซึ่งเรามีความคิดเห็นว่าด้วยเหตุนี้ควรมีการตั้งคณะกรรมาธิการวิสามัญเพื่อตรวจสอบการใช้เงิน ซึ่งพรรคก้าวไกลได้เสนอเข้าสภาฯแล้ว แต่กังวลว่าจะมีความล่าช้า จนไม่สามารถตั้งคณะกรรมาการวิสามัญได้ #พรกฉุกเฉิน #เพื่อไทย #Covid_19 #ประชุมสภา  #โควิด19 #โควิด_19 #โควิด19เราต้องรอด ,6,1,3851
